distance_km;altitude_m;altitude_moyenne_5;d_plus;d_moins
0;9;14,66666667;0;0
0,1;13;18,75;4;0
0,2;22;20,8;9;0
0,3;31;26;9;0
0,4;29;30,6;0;2
0,5;35;30,2;6;0
0,6;36;26,2;1;0
0,7;20;22,2;0;16
0,8;11;18,6;0;9
0,9;9;16,2;0;2
1;17;17,2;8;0
1,1;24;20,2;7;0
1,2;25;24;1;0
1,3;26;26,2;1;0
1,4;28;27,6;2;0
1,5;28;28;0;0
1,6;31;26,8;3;0
1,7;27;23,8;0;4
1,8;20;22,2;0;7
1,9;13;19,2;0;7
2;20;16;7;0
2,1;16;13,4;0;4
2,2;11;12,4;0;5
2,3;7;12;0;4
2,4;8;14;1;0
2,5;18;16,2;10;0
2,6;26;18;8;0
2,7;22;19,6;0;4
2,8;16;19;0;6
2,9;16;16;0;0
3;15;14,2;0;1
3,1;11;14;0;4
3,2;13;13,4;2;0
3,3;15;14;2;0
3,4;13;14;0;2
3,5;18;14,6;5;0
3,6;11;15,4;0;7
3,7;16;15,4;5;0
3,8;19;16,2;3;0
3,9;13;20;0;6
4;22;22,8;9;0
4,1;30;24,2;8;0
4,2;30;26,4;0;0
4,3;26;27,6;0;4
4,4;24;26,6;0;2
4,5;28;25,6;4;0
4,6;25;25;0;3
4,7;25;22,4;0;0
4,8;23;20,8;0;2
4,9;11;19,4;0;12
5;20;18;9;0
5,1;18;16,6;0;2
5,2;18;15,8;0;0
5,3;16;13;0;2
5,4;7;11;0;9
5,5;6;11,8;0;1
5,6;8;14,6;2;0
5,7;22;19,6;14;0
5,8;30;23;8;0
5,9;32;28,2;2;0
6;23;30,6;0;9
6,1;34;31;11;0
6,2;34;28,6;0;0
6,3;32;27;0;2
6,4;20;22,8;0;12
6,5;15;19,8;0;5
6,6;13;15,8;0;2
6,7;19;14,2;6;0
6,8;12;12,2;0;7
6,9;12;11,2;0;0
7;5;10,2;0;7
7,1;8;11,8;3;0
7,2;14;13,4;6;0
7,3;20;16,2;6;0
7,4;20;14,6;0;0
7,5;19;14,4;0;1
7,6;0;12,8;0;19
7,7;13;11,4;13;0
7,8;12;13,2;0;1
7,9;13;19,4;1;0
8;28;23,6;15;0
8,1;31;27,2;3;0
8,2;34;27,2;3;0
8,3;30;21,6;0;4
8,4;13;17,8;0;17
8,5;0;14,4;0;13
8,6;12;11,8;12;0
8,7;17;11,8;5;0
8,8;17;15,6;0;0
8,9;13;16,2;0;4
9;19;15;6;0
9,1;15;15;0;4
9,2;11;15,4;0;4
9,3;17;16,8;6;0
9,4;15;19,2;0;2
9,5;26;22,8;11;0
9,6;27;21,8;1;0
9,7;29;22;2;0
